Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
,Big Sur Holy Weed Crumble,"Concentrate, Inhalable",2017-02-13,,152,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.346,0.165,0.079,0.0,0.632,0.098,,0.05,0.099,0.0,0.0,,,,,,,,,,,,,,
,Live Resin 3,"Concentrate, Inhalable",2017-04-18,,152,,,,,,0.0,0.045,0.12,0.0,0.022,0.0,0.0,0.238,0.272,0.059,0.095,0.293,0.452,0.0,0.891,0.701,,0.322,0.521,0.0,0.0,,,,,,,,,,,,,,
,Z-Girls,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.004,0.012,0.001,0.0,0.0,0.0,0.085,0.0,0.002,0.064,0.152,0.015,0.0,0.441,0.248,,0.033,0.136,0.0,0.0,,,,,,,,,,,,,,
,Ghost OG,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.005,0.002,0.0,0.0,0.067,0.0,0.025,0.0,0.0,0.019,0.054,0.019,0.0,0.153,0.489,,0.04,0.147,0.0,0.0,,,,,,,,,,,,,,
,Big Sur Holy Weed,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.01,0.009,0.0,0.0,0.0,0.0,0.042,0.203,0.002,0.031,0.05,0.182,0.0,0.181,0.225,,0.106,0.213,0.0,0.0,,,,,,,,,,,,,,
,Big Sur Chomba,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.005,0.003,0.002,0.0,0.0,0.0,0.044,0.0,0.0,0.009,0.022,0.034,0.0,0.08,0.882,,0.045,0.119,0.0,0.0,,,,,,,,,,,,,,
,Dirty Girl,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.005,0.007,0.0,0.0,0.067,0.0,0.028,0.0,0.0,0.003,0.037,0.133,0.0,0.14,0.773,,0.083,0.097,0.0,0.0,,,,,,,,,,,,,,
,Dieseline,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.003,0.006,0.0,0.002,0.0,0.0,0.023,0.0,0.0,0.051,0.129,0.128,0.0,0.285,0.735,,0.067,0.066,0.0,0.0,,,,,,,,,,,,,,
,Dirty Girl Valley,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.011,0.008,0.0,0.0,0.045,0.0,0.006,0.021,0.005,0.008,0.03,0.644,0.0,0.114,0.195,,0.152,0.087,0.0,0.0,,,,,,,,,,,,,,
,Kosher Kush,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.01,0.014,0.0,0.011,0.0,0.0,0.112,0.0,0.002,0.061,0.133,0.034,0.0,0.437,0.452,,0.069,0.306,0.0,0.0,,,,,,,,,,,,,,
