Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
3mwPy5dXgexG5CbFS,Skywalker Mendo - LR,Concentrate,2016-11-29,2016-12-01,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.22,0.06,0.22,0.1,0.0,0.62,0.87,0.27,0.05,0.73,0.0,0.0,,67.1,,,0.26,0.0,,0.43,,,,3.66,1.72,
3njdhoKKwmfEdRM7i,Gorilla Chem Sugar,Concentrate,2016-12-21,2016-12-26,17,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.05,0.24,0.03,0.0,0.57,0.14,0.0,0.0,0.35,0.0,0.0,,62.9,,,0.3,0.28,,0.57,,,,2.61,0.41,
3oB28SJTsS8RLrWfq,9 lb. Hammer,Concentrate,2016-02-15,2016-02-16,3,,,0.0,0.0,,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.2,0.0,0.03,0.0,0.0,0.07,0.0,0.04,0.29,0.07,0.01,0.09,0.0,0.0,,53.6,,,0.09,0.05,,0.02,,,,1.45,0.33,
3ojqsQQTesuNEfBcF,Raskal OG - CRB,Concentrate,2015-12-31,2016-01-02,,,,0.02,0.0,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.06,0.29,0.01,0.18,1.25,0.01,0.02,0.35,0.01,0.0,,64.9,,,0.16,0.15,,0.03,,,,2.84,0.19,
3pnvExg8aaWX8Zrqa,Goji-LRB,Concentrate,2017-06-12,2017-06-12,,0.0,0.0,,,,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.29,0.0,0.48,0.06,0.12,0.1,0.0,0.41,0.27,0.13,0.0,0.68,0.0,0.0,,1.43,0.01,86.15,0.01,0.0,0.49,0.01,,,3.78,0.65,0.07,
3qxqLcXzxs8EoMR3P,Deathstar - LR,Concentrate,2016-01-12,2016-01-13,,,,0.0,0.0,,0.0,0.07,0.0,0.0,0.0,0.15,0.0,0.24,0.0,0.06,0.03,0.31,0.21,0.01,0.55,1.01,0.08,0.02,1.04,0.01,0.0,,54.6,,,0.06,0.07,,0.02,,,,2.53,0.39,
3s7mJyMyEKjRniBWW,Jack OG,Concentrate,2017-05-25,2017-05-30,2,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,4.85,0.08,0.09,0.24,0.19,0.51,2.89,2.02,0.22,0.56,0.09,0.0,35.8,10.3,,,0.0,0.0,0.64,0.0,,,11.35,1.31,0.12,
3sXwPLWeNnPsQ4u2s,GMO Full Melt,Concentrate,2016-07-15,2016-07-19,18,,,0.0,0.0,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.03,0.34,0.24,0.0,0.56,0.65,0.0,0.05,1.62,0.0,0.0,,62.7,,,0.23,0.19,,0.45,,,,1.44,0.66,
3uFDLuhfk7HhcgP4z,Birthday Cake Kush,Concentrate,2018-01-05,2018-01-05,3,0.0,0.0,,,,0.07,0.07,0.0,0.0,0.21,0.0,0.0,1.61,0.0,0.0,0.42,1.4,0.11,0.0,3.83,0.5,0.0,0.23,0.72,0.0,0.0,,71.45,1.83,0.0,1.06,1.1,0.0,1.23,,,0.0,1.96,0.0,
3vvJ2qQATAMHZFuq6,Daybreaker Live Resin Nug Run,Concentrate,2015-09-08,2015-09-09,13,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.14,0.03,0.0,0.37,1.1,0.0,0.0,0.37,0.0,0.0,,63.0,,,0.4,0.1,,0.05,,,,3.39,0.58,
3zHE7R6PLxEXNTFPy,Pineapple Express,Concentrate,,,11,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.67,22.91,0.0,5.38,13.67,0.0,5.54,3.7,0.0,0.0,,,,,,,,,,,,,,
42frAi3PCEqju9sQC,Lemon Banana Cake - LR,Concentrate,2016-11-01,2016-11-02,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.34,0.04,0.08,0.22,0.03,0.24,0.4,0.0,0.0,0.91,0.0,0.0,,76.1,,,0.43,0.27,,0.45,,,,5.96,0.83,
