Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
YpMHoWb3WPKmtft4K,Jacked Up (Pre),Flower,2016-08-17,2016-08-18,43,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.22,0.02,0.02,0.07,0.01,0.07,0.04,0.04,0.09,0.09,0.01,0.0,,17.1,,,1.23,0.12,,0.14,,,,1.0,0.24,11.0
YsHjT2Dbh3GQHWn8a,SFV OG (organic),Flower,2015-11-20,2015-11-21,49,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.02,0.1,0.07,0.0,0.29,0.45,0.0,0.11,0.6,0.0,0.0,,22.8,,,0.08,0.05,,0.02,,,,1.39,0.59,14.0
YuFMxAhJPNznjzWm5,Gorilla Glue #4,Flower,2017-11-09,2017-11-09,,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.01,0.03,0.1,0.01,0.0,0.29,0.07,0.0,0.02,0.16,0.0,0.0,,0.34,0.01,13.91,0.01,0.01,0.01,0.01,,,1.03,0.01,0.01,54.32
YwAQMQpX2h2wxxYWZ,Kromes White,Flower,2017-04-15,2017-04-17,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.04,0.08,0.05,0.0,0.32,0.17,0.0,0.08,0.29,0.0,0.0,,25.8,,,0.16,0.09,,0.14,,,,0.9,0.24,11.0
YwjQQ2RLiEMrgQGTs,Lemon OG,Flower,2015-07-07,2015-07-09,37,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.04,0.12,0.1,0.0,0.3,0.19,0.0,0.14,0.64,0.0,0.0,,24.0,,,0.06,0.11,,0.01,,,,0.23,0.08,14.0
Z4ZYCwTKHMGNhHzWa,Raw Dough,Flower,2018-04-06,2018-04-06,12,0.0,0.0,,,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.03,0.16,0.62,0.0,0.39,0.7,0.0,0.28,0.26,0.02,0.0,,0.48,0.01,23.26,0.01,0.01,0.35,0.01,,,0.77,0.11,0.01,25.01
Z4ZYCwTKHMGNhHzWa,Raw Dough,Flower,2018-04-06,2018-04-06,12,0.0,0.0,,,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.03,0.16,0.62,0.0,0.39,0.7,0.0,0.28,0.26,0.02,0.0,,0.48,0.01,23.26,0.01,0.01,0.35,0.01,,,0.77,0.11,0.01,25.01
Z4g7WBn3aCWKnnQXS,Peaches #1,Flower,2017-06-08,2017-06-08,219,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.52,0.03,0.0,0.03,0.0,0.07,0.72,0.0,0.06,0.09,0.0,0.0,,0.06,0.01,14.3,0.01,0.09,0.01,0.01,,,0.79,0.01,0.01,12.63
Z6yKkboSAstH5TgFx,Cornbreak OG,Flower,2017-05-08,2017-05-10,134,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.03,0.01,0.0,0.0,0.16,0.09,0.0,0.02,0.15,0.0,0.0,14.7,0.8,,,0.0,0.0,0.0,0.0,,,0.5,0.0,0.07,
ZAA7PjrnMtNrjivri,Black Water,Flower,2015-11-05,2015-11-10,175,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.17,0.73,0.0,0.43,0.23,0.0,0.32,0.16,0.0,0.0,,29.5,,,0.11,0.12,,0.02,,,,0.24,0.18,16.0
ZB5omxDC7GEH9JAFf,Blood Atonement,Flower,2015-09-14,2015-09-15,4,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.02,0.16,0.0,0.06,0.84,0.11,0.0,0.06,0.0,0.0,,15.9,,,0.21,0.07,,0.02,,,,2.58,0.2,15.0
ZBh2y82rofwZdJXyJ,Hells OG,Flower,2017-03-15,2017-03-17,48,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.43,0.02,0.07,0.06,0.0,0.31,0.47,0.0,0.11,0.1,0.0,0.0,,20.9,,,0.1,0.08,,0.14,,,,0.65,0.27,12.0
ZJ9quejxio7f6aWbe,Cherry Pie,Flower,2017-04-15,2017-04-17,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.04,0.13,0.0,0.18,0.58,0.01,0.02,0.0,0.0,0.0,,5.3,,,0.0,0.0,,0.14,,,,0.2,0.18,11.0
ZJBC6PJYuLPsgPaki,Sour Kosher Kush - 4 - TCHC,Flower,2016-05-03,2016-05-03,,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.13,0.07,0.0,0.27,0.13,0.0,0.08,0.43,0.0,0.0,,13.5,,,0.11,0.21,,0.29,,,,0.3,0.39,11.0
ZJwRPNsimKybwheou,Twisted Sister,Flower,2015-10-23,2015-10-23,96,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.71,0.04,0.2,0.05,0.03,0.39,0.17,0.25,0.05,0.11,0.02,0.0,,22.7,,,0.13,0.05,,0.02,,,,1.34,0.18,16.0
ZKRGn7usXiKBMdxTw,#1,Flower,2015-06-25,2015-06-30,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.03,0.0,0.01,0.0,0.07,0.11,0.0,0.17,0.04,0.0,0.08,0.26,0.0,0.0,,14.7,,,0.02,0.07,,0.01,,,,0.07,0.07,10.0
ZKmwJfCc7PDTKLDEQ,Buffalo Pez,Flower,2016-10-28,2016-11-01,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.0,0.05,0.36,0.0,0.08,0.07,0.0,0.0,,8.4,,,0.05,0.1,,0.0,,,,0.16,0.16,25.0
ZMNLi3Zingf4S4ES8,Wifi x Super Skunk,Flower,2017-08-09,2017-08-09,12,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.02,0.0,0.03,0.0,0.06,0.17,0.0,0.04,0.24,0.0,0.0,,0.41,0.01,14.14,0.01,0.01,0.37,0.01,,,0.72,0.01,0.05,
ZcNcrjKL5n36gEQaj,SFV,Flower,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.02,0.02,0.0,0.05,0.03,0.0,0.03,0.24,0.0,0.0,,,,,,,,,,,,,,
ZgEuvs6zgJS2t5SCa,SBK-1-9.2,Flower,2016-05-24,2016-05-25,110,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.06,0.05,0.0,0.18,0.78,0.0,0.08,0.46,0.0,0.0,,19.8,,,0.16,0.2,,0.3,,,,0.54,0.32,10.0
ZgjuY439Jxua3caKT,Gorilla Glue #4 DBB-2,Flower,2017-03-16,2017-03-18,93,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.25,0.01,0.0,0.7,0.05,0.0,0.03,0.17,0.0,0.0,,17.3,,,0.11,0.11,,0.15,,,,0.62,0.15,10.0
ZizgRoFEhJiGzaenB,Lemon Larry,Flower,2016-04-28,2016-05-01,142,,,0.0,0.05,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.07,0.11,0.04,0.0,0.34,0.32,0.0,0.08,0.33,0.0,0.0,,26.2,,,0.17,0.16,,0.18,,,,0.93,0.36,13.0
ZsaLGNwb2Yt9MMvLZ,Ripley's OG #2,Flower,2016-06-06,2016-06-07,159,,,0.0,0.04,,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.07,0.06,0.0,0.25,0.75,0.13,0.04,0.04,0.0,0.0,,21.3,,,0.14,0.13,,0.17,,,,1.13,0.24,12.0
Zt9FWriP5C7PmzmnK,Veganic OG Kush 8,Flower,2015-09-08,2015-09-09,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.02,0.01,0.0,0.07,0.37,0.0,0.0,0.07,0.0,0.0,,10.9,,,0.07,0.03,,0.01,,,,0.27,0.15,12.0
Zw4fSmvAwNgH66eQu,DB MCH,Flower,2017-04-19,2017-04-21,93,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.03,0.13,0.02,0.0,0.38,0.0,0.0,0.03,0.2,0.0,0.0,,14.4,,,0.07,0.1,,0.4,,,,1.79,0.72,11.0
Zw7CZv62oufwhNJo9,Illudium,Flower,2015-12-21,2015-12-22,148,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.04,0.02,0.0,0.13,0.01,0.0,0.03,0.17,0.0,0.0,,10.1,,,0.03,0.03,,0.0,,,,0.54,0.06,12.0
ZwHauiqWdzc3GrwFP,Cuvee #4,Flower,2015-11-02,2015-11-03,,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.27,0.01,0.03,0.07,0.02,0.09,0.14,0.0,0.06,0.08,0.02,0.0,,12.1,,,0.1,0.07,,0.01,,,,0.96,0.19,11.0
ZwoMo2Hsq7smoY59K,Strawberry Daquiri,Flower,2016-06-29,2016-07-01,48,,,0.0,0.0,,0.06,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,1.05,0.0,0.03,11.0,0.05,0.07,0.69,0.02,0.16,0.15,0.03,0.0,,20.3,,,0.12,0.12,,0.19,,,,0.66,0.31,13.0
ZxMxWMHhLGyjpGaJa,Sunburst,Flower,2017-07-13,2017-07-13,,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.05,0.0,0.02,0.0,0.22,0.25,0.0,0.03,0.21,0.0,0.0,,1.14,0.01,21.61,0.01,0.01,0.42,0.01,,,0.95,0.05,0.01,10.84
ZyJzygL5dAhak3DqF,Chernobyl,Flower,2015-11-18,2015-11-21,220,,,0.0,0.0,,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.07,0.15,0.05,0.0,0.51,0.57,0.0,0.1,0.61,0.0,0.0,,29.1,,,0.12,0.07,,0.02,,,,0.9,0.16,13.0
ZyfDphPNTTdhG6Lpv,Moonshine x GTH,Flower,2017-08-02,2017-08-02,12,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,0.0,0.23,0.25,0.0,0.06,0.32,0.0,0.0,,0.84,0.01,28.17,0.01,0.01,0.41,0.01,,,1.02,0.01,0.02,8.87
a2j3i7BPNucsi8XtN,GMO Cookie,Flower,2018-04-11,2018-04-11,12,0.0,0.0,,,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.03,0.1,0.06,0.0,0.19,0.49,0.0,0.09,0.51,0.0,0.0,,0.7,0.01,30.84,0.01,0.01,0.37,0.01,,,1.16,0.17,0.03,8.54
a2j3i7BPNucsi8XtN,GMO Cookie,Flower,2018-04-11,2018-04-11,12,0.0,0.0,,,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.03,0.1,0.06,0.0,0.19,0.49,0.0,0.09,0.51,0.0,0.0,,0.7,0.01,30.84,0.01,0.01,0.37,0.01,,,1.16,0.17,0.03,8.54
a2seczLkiNMK69zbJ,Agent Orange #3,Flower,2017-06-16,2017-06-16,48,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.17,0.72,0.0,0.0,0.06,0.0,0.0,,0.38,0.01,25.54,0.01,0.01,0.18,0.01,,,0.91,0.26,0.01,
a48aoCHG3W7XaWPzm,Cheese,Flower,2017-05-19,2017-05-23,145,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.02,0.23,0.0,0.0,0.46,0.04,0.0,0.02,0.14,0.0,0.0,17.6,0.3,,,0.0,0.0,0.18,0.0,,,0.62,0.2,0.11,13.0
a4KnziWDXkcD9bpvr,Sunset Sherbert - DB,Flower,2017-01-16,2017-01-17,93,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.02,0.06,0.0,0.0,0.2,0.0,0.0,0.01,0.11,0.0,0.0,,16.3,,,0.0,0.14,,0.12,,,,0.73,0.91,10.0
a4ggChcGpkhwJnfmh,2,Flower,2017-02-20,2017-02-22,200,,,0.17,0.0,,0.11,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.01,0.0,0.21,0.0,0.0,0.58,,23.1,,,0.11,0.09,,0.15,,,,1.14,0.21,13.0
a5hvmf7oYZDFnPsro,The Mystery - Batch Test - 5,Flower,2016-02-09,2016-02-11,2,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.09,0.0,0.0,0.05,0.12,0.04,0.0,0.32,0.17,0.0,0.05,0.2,0.0,0.0,,16.0,,,0.02,0.04,,0.01,,,,0.52,0.03,11.0
a7oM4u6XmknkzddkC,Organic GG4,Flower,2018-01-31,2018-01-31,12,0.0,0.0,,,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.07,0.2,0.06,0.0,0.45,0.06,0.0,0.1,0.43,0.02,0.0,,0.45,0.01,28.1,0.01,0.01,0.35,0.01,,,0.71,0.07,0.0,14.14
a9DuYao7vEstzRpG6,Carnival,Flower,2018-04-16,2018-04-16,42,0.0,0.0,,,,0.03,0.02,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.36,0.0,0.08,0.07,0.03,0.15,0.09,0.23,0.08,0.09,0.02,0.0,,0.38,0.01,19.69,0.01,0.01,0.33,0.01,,,1.13,0.1,0.01,10.2
a9DuYao7vEstzRpG6,Carnival,Flower,2018-04-16,2018-04-16,42,0.0,0.0,,,,0.03,0.02,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.36,0.0,0.08,0.07,0.03,0.15,0.09,0.23,0.08,0.09,0.02,0.0,,0.38,0.01,19.69,0.01,0.01,0.33,0.01,,,1.13,0.1,0.01,10.2
a9DuYao7vEstzRpG6,Carnival,Flower,2018-04-16,2018-04-16,42,0.0,0.0,,,,0.03,0.02,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.36,0.0,0.08,0.07,0.03,0.15,0.09,0.23,0.08,0.09,0.02,0.0,,0.38,0.01,19.69,0.01,0.01,0.33,0.01,,,1.13,0.1,0.01,10.2
aBPPYStJN6hHmefgJ,CCK - 1,Flower,2016-09-26,2016-09-27,35,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.08,0.03,0.0,0.25,0.2,0.0,0.05,0.26,0.0,0.0,,20.4,,,0.14,0.14,,0.16,,,,0.79,0.2,12.0
aCvbBg2vowPmqQsZC,Jedi Kush,Flower,2016-11-30,2016-12-02,221,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.05,0.05,0.05,0.0,0.21,1.03,0.19,0.02,0.05,0.0,0.0,,22.0,,,0.14,0.17,,0.18,,,,1.01,0.47,13.0
aDEQhEpCj5FbkBCC8,24K Gold,Flower,2016-08-20,2016-08-22,222,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.0,0.03,0.06,0.33,0.0,0.2,1.35,0.0,0.16,0.18,0.0,0.0,,24.7,,,0.16,0.09,,0.14,,,,0.97,0.21,12.0
aL66ADcQ6r5bMzqkb,Gorilla Glue,Flower,2017-11-15,2017-11-15,,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.19,0.0,0.0,0.67,0.02,0.0,0.01,0.05,0.0,0.0,,1.91,0.01,26.44,0.01,0.01,0.21,0.01,,,0.43,0.06,0.01,11.04
aPDHd9Pi5wtGcfqAQ,CIV 2/3-2/4 2/17,Flower,2017-02-23,2017-02-25,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.12,0.0,0.0,0.34,0.15,0.0,0.01,0.06,0.0,0.0,,20.1,,,0.17,0.16,,0.15,,,,0.63,0.16,
aQawE6Grwd76yiLHt,Wifi OG,Flower,2016-08-12,2016-08-16,223,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.02,0.12,0.07,0.0,0.36,0.15,0.0,0.11,0.46,0.0,0.0,,23.0,,,0.15,0.12,,0.14,,,,1.15,0.0,10.0
aZTPSWqbvLjfDxMuP,Coffee Gold,Flower,2016-02-24,2016-02-25,42,,,0.0,0.14,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.38,0.01,0.14,0.03,0.01,0.31,0.1,0.55,0.02,0.02,0.01,0.0,,6.3,,,0.7,0.02,,0.0,,,,0.39,0.05,14.0
acHz6DLnnrfEp4FLP,Gorilla Glue #4 - 9.2 Week,Flower,2017-03-18,2017-03-20,27,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.14,0.01,0.0,0.46,0.08,0.0,0.03,0.21,0.0,0.0,,16.5,,,0.07,0.13,,0.16,,,,0.46,0.19,
aepmmsQfZQW2n8won,Critical Kush,Flower,2016-12-02,2016-12-05,50,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.02,0.0,0.19,0.0,0.06,0.37,0.0,9.0,0.08,0.0,0.0,,16.7,,,0.13,0.1,,0.14,,,,0.82,0.18,12.0
amE3Do3RRGc2NWPq7,Panama,Flower,2016-07-27,2016-07-27,42,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.02,0.03,0.0,0.05,0.24,0.11,0.02,0.01,0.0,0.0,,10.7,,,0.06,0.15,,0.17,,,,1.31,0.18,13.0
aoCNsd2F7vP9ASCrW,A.S. Rhory 2,Flower,2017-08-18,2017-08-18,12,0.0,0.0,,,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.02,0.02,0.12,0.06,0.0,0.43,0.25,0.01,0.12,0.5,0.0,0.0,,0.73,0.01,30.18,0.01,0.01,0.4,0.01,,,1.34,0.04,0.01,12.26
arP2t2oakxba7hcTH,LA Confidential,Flower,2016-11-15,2016-11-17,183,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.02,0.0,0.0,0.18,0.16,0.0,0.02,0.14,0.0,0.0,,14.3,,,0.07,0.16,,0.15,,,,0.45,0.14,14.0
argi7K5AnR2hGoapn,Skyron Stomper,Flower,2016-11-01,2016-11-02,159,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.1,0.0,0.0,0.05,0.04,0.01,0.0,0.19,0.76,0.0,0.03,0.2,0.0,0.0,,14.3,,,0.09,0.1,,0.11,,,,0.46,0.16,11.0
axdKeM4pZBnLncxoZ,CBD DUR FF,Flower,2017-10-22,2017-10-22,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,0.01,2.22,0.11,0.2,0.48,1.54,,,0.35,0.59,0.31,3.8
ayMpmdayb3G9k4Kiq,White Master,Flower,2016-02-24,2016-02-25,169,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.18,0.03,0.0,0.57,0.04,0.0,0.05,0.26,0.0,0.0,,18.8,,,0.04,0.04,,0.01,,,,0.56,0.05,12.0
az4hfqdRLd9gtHrMH,Marionberry Kush,Flower,2016-12-27,2016-12-28,48,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.64,0.03,0.03,0.1,0.02,0.18,0.52,0.0,0.15,0.17,0.01,0.0,,22.8,,,0.13,0.08,,0.13,,,,0.89,0.22,13.0
b3QepqJg7wYM5PbZu,Lemon Skunk,Flower,2016-02-08,2016-02-09,224,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.38,0.0,0.17,0.04,0.02,0.39,0.1,0.18,0.05,0.03,0.01,0.0,,18.6,,,0.07,0.02,,0.0,,,,1.84,0.03,12.0
b5YDCdqwEf7FJhHdT,Veganic Blueberry (JC),Flower,2015-06-19,2015-06-23,225,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.01,0.0,0.14,0.63,0.03,0.0,0.05,0.0,0.0,,22.6,,,0.07,0.06,,0.02,,,,0.45,0.07,10.0
b5g256dCPjFLtyXon,Strawberry Banana,Flower,2016-03-23,2016-03-24,110,,,0.0,0.17,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.18,0.0,0.01,0.19,0.43,0.08,0.0,0.97,0.42,0.0,0.13,0.27,0.0,0.0,,20.4,,,0.11,0.05,,0.01,,,,0.25,0.12,11.0
b7Q4iT2r6sDwqxdo4,JH,Flower,2017-02-24,2017-02-28,50,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.04,0.25,0.0,0.18,0.19,0.0,0.1,0.02,0.0,0.0,,19.2,,,0.06,0.22,,0.2,,,,0.39,0.19,11.0
b84cgAegkzNFxnxSf,KO Kush,Flower,2016-01-28,2016-01-29,226,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.01,0.03,0.07,0.03,0.0,0.2,0.53,0.0,0.05,0.37,0.0,0.0,,22.1,,,0.05,0.02,,0.01,,,,0.95,0.02,11.0
bAWHLg4Ej5ob5NyQh,Blue Sun #7,Flower,2017-03-24,2017-03-28,50,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.04,0.04,0.04,0.0,0.22,0.19,0.0,0.09,0.51,0.0,0.0,,19.0,,,0.82,0.15,,0.2,,,,0.51,0.29,12.0
bBB2JGZtCjj7uGmhe,24K Gold - FMG,Flower,2017-01-25,2017-01-27,21,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.02,0.0,0.3,0.0,0.08,0.71,0.0,0.13,0.11,0.0,0.0,,15.6,,,0.18,0.18,,0.14,,,,0.73,0.25,12.0
bHHogaN6c7uQuFbC3,Kurple,Flower,2017-05-04,2017-05-06,155,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.02,0.04,0.14,0.0,0.22,0.21,0.06,0.14,0.75,0.0,0.0,17.8,0.9,,,0.0,0.0,0.0,0.0,,,0.71,0.1,0.03,15.0
bMWQTnp9S9SvqkPYF,Day 56 West Coast Collage,Flower,2015-08-17,2015-08-21,154,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.05,0.24,0.0,0.18,1.48,0.0,0.0,0.28,0.0,0.0,,24.1,,,0.0,0.0,,0.0,,,,0.0,0.0,18.0
bR2tz5zpNccAtXbvi,Kandy Kush,Flower,2017-01-16,2017-01-18,227,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.02,0.1,0.04,0.0,0.28,0.2,0.01,0.07,0.34,0.0,0.0,,17.7,,,0.13,0.1,,0.14,,,,0.57,0.3,11.0
bWtSQ7ogvHgrTmnnT,Black Dog,Flower,,,102,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.01,0.0,0.06,0.08,0.0,0.02,0.21,0.0,0.0,,,,,,,,,,,,,,
bb5ZJpsHAEzxvcLTk,Darth Vader OG,Flower,,,8,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.03,0.04,0.69,0.0,0.22,0.12,0.0,0.17,0.36,0.0,0.0,,,,,,,,,,,,,,
bb6PZ5A67jAQGv6N4,Triangle Kush,Flower,2016-10-14,2016-10-15,,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.1,0.33,0.0,0.28,0.9,0.09,0.06,0.07,0.0,0.0,,19.5,,,0.13,0.14,,0.14,,,,0.77,0.3,14.0
bddCdkvmccEdBYbWJ,Perma Frost R1,Flower,2018-03-15,2018-03-15,,0.0,0.04,,,,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.05,0.0,0.02,0.04,0.13,0.28,0.0,0.32,0.21,0.05,0.13,0.15,0.02,0.0,,0.4,0.01,23.11,0.01,0.01,0.01,0.01,,,1.53,0.22,0.01,8.59
bfvPHa4bpEYuHsQgQ,Star Tonic (organic),Flower,2015-11-20,2015-11-21,49,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.03,0.0,0.0,0.05,0.04,0.22,0.0,0.12,0.84,0.0,0.09,0.1,0.0,0.0,,8.3,,,0.0,0.02,,15.4,,,,1.19,1.47,19.0
bmMigTrApqnj5nYiP,Grape Ape,Flower,2016-04-19,2016-04-20,228,,,0.0,0.03,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0.07,0.02,0.0,0.26,0.3,0.09,0.03,0.19,0.0,0.0,,12.6,,,0.19,0.17,,0.19,,,,0.18,1.09,11.0
bmWocd23oTt7SZKtz,Chocolope,Flower,2016-01-18,2016-01-19,,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.03,0.05,0.0,0.09,0.07,0.1,0.07,0.55,0.0,0.0,,19.2,,,0.07,0.01,,0.01,,,,1.5,0.06,12.0
bmfPvk47pqwdArTfr,Sour Diesel,Flower,2016-12-09,2016-12-12,170,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.26,0.03,0.0,0.52,0.0,0.0,0.07,0.38,0.0,0.0,,14.4,,,0.09,0.09,,0.15,,,,0.28,0.33,12.0
